@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:26:29"
@ Model_directory %s "model/"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ Q1 %le 0.5439538506665476
@ Q2 %le 0.5978671858951496
@ FILENAME %s "getCOx.out"
*                 NAME                    S                COUNT                    X                 STDX                 XMDL               MUXMDL               DELTAX
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1      -1.266985249149                  nan                  nan            0.2203223                  nan
                MQC2LE            2.2500008                    1      0.1579103221767                  nan                  nan            0.2410243                  nan
               MQLC3LE           12.9355133                    1      0.5964380516162                  nan                  nan            0.2616968                  nan
               MQLC7LE           27.2720861                    1     -0.2990991974656                  nan                  nan            0.4721468                  nan
               MQLB1LE           55.2235731                    1    -0.08076504160643                  nan                  nan            0.9879476                  nan
               MQLB4LE           77.1787307                    1     -0.7924714377377                  nan                  nan            1.3202075                  nan
               MQLA2LE           98.9121927                    1     -0.1153581128829                  nan                  nan            1.8242478                  nan
               MQLA5LE          119.0986538                    1     0.09932358803464                  nan                  nan            2.3120774                  nan
                MQD3E1          164.5639584                    1      0.3126779620827                  nan                  nan            3.0072166                  nan
                MQEAE4          230.8020191                    1      -1.676552907931                  nan                  nan            4.0807687                  nan
                MQD3E4          270.0136808                    1     -0.1252692871652                  nan                  nan            4.6861856                  nan
                MQEAE6          306.4724249                    1      -1.770627014629                  nan                  nan            5.2289045                  nan
              MQTATNE1          354.4092937                    1     -0.7777460469297                  nan                  nan            5.9292318                  nan
              MQTATNE2          397.7476034                    1     -0.6272545022523                  nan                  nan            6.4015278                  nan
                MQEAE8          472.7108711                    1      -2.167544926977                  nan                  nan            7.5699902                  nan
                MQD3E8          511.9225329                    1     -0.1062271987148                  nan                  nan            8.1754072                  nan
               MQEAE10          548.3812769                    1      -1.371955481763                  nan                  nan             8.718126                  nan
               MQEAE11          597.0252838                    1      -1.266694922818                  nan                  nan            9.3981267                  nan
               MQR2NE1          696.7698054                    1      -1.360028354905                  nan                  nan           10.9206195                  nan
               MQFRNE3          753.3246054                    1      -1.615241618318                  nan                  nan           11.5379038                  nan
               MQDRNE5          781.6020054                    1      0.1203371840776                  nan                  nan            11.856421                  nan
               MQEAE13           881.197528                    1      -1.700798963258                  nan                  nan           13.2020923                  nan
