@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:49:59"
@ Model_directory %s "model/"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ Q1 %le 0.5439538506665476
@ Q2 %le 0.5978671858951496
@ FILENAME %s "getCOy.out"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL               DELTAY
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le
               MQEAE13           881.197528                    1        1.45696708048                  nan                  nan           12.8899378                  nan
               MQD3E12          947.4355886                    1     0.06862837900221                  nan                  nan           13.8650143                  nan
               MQEAE16          983.8943327                    1     -0.4340369981982                  nan                  nan           14.3286622                  nan
               MQD3E14         1023.1059944                    1       -0.14711936465                  nan                  nan           14.9882786                  nan
               MQEAE18         1059.5647385                    1      0.8604191134134                  nan                  nan           15.4519265                  nan
              MQTANFE1         1107.5016074                    1      -0.126023454597                  nan                  nan           16.1739407                  nan
               MQD3E16         1189.3444407                    1       1.407774196897                  nan                  nan           17.1895078                  nan
               MQEAE20         1225.8031848                    1     -0.2687655165136                  nan                  nan           17.6531557                  nan
               MQD3E18         1265.0148465                    1        1.42829222042                  nan                  nan            18.312772                  nan
               MQEAE22         1301.4735906                    1      0.2368778715405                  nan                  nan           18.7764199                  nan
               MQEAE23         1350.1175975                    1      0.1378461530178                  nan                  nan           19.5842239                  nan
                 MQI6E         1404.3012987                    1      0.1160423706509                  nan                  nan           20.2018289                  nan
                 MQI5E         1418.7440064                    1       1.108611119419                  nan                  nan           20.2546404                  nan
                 MQI4E         1424.1361014                    1      0.7089638760761                  nan                  nan           20.2734103                  nan
                MQX2RE         1494.6206604                    1      0.7064241991491                  nan                  nan           21.2341795                  nan
                 MQM2E         1564.3492168                    1      0.1065588690358                  nan                  nan           22.0286912                  nan
                 MQM7E         1608.8759522                    1       1.694676564965                  nan                  nan           22.6624348                  nan
               MQD3E21         1671.2575666                    1       2.264338832983                  nan                  nan           23.4501631                  nan
               MQEAE27         1710.4692283                    1     -0.7117334447948                  nan                  nan           24.1097794                  nan
               MQD3E23         1746.9279724                    1      -1.617179068969                  nan                  nan           24.5734273                  nan
               MQEAE29         1786.1396341                    1     -0.2051429703052                  nan                  nan           25.2330437                  nan
               MQEAE30          1813.166033                    1      0.5045296772716                  nan                  nan           25.5485039                  nan
              MQTAFOE1         1861.1278611                    1     -0.6238671635636                  nan                  nan           26.2818318                  nan
              MQTAFOE2         1905.3942301                    1      0.6015977646647                  nan                  nan           26.7136413                  nan
               MQEAE32         1980.3824571                    1      0.7994997098098                  nan                  nan           27.7624294                  nan
               MQD3E29         2065.4852081                    1      0.2136886662816                  nan                  nan           29.0338813                  nan
               MQEAE35         2104.6968698                    1     -0.3606313081582                  nan                  nan           29.6934976                  nan
               MQDROE5         2288.3421939                    1       0.285641331031                  nan                  nan           32.0959819                  nan
               MQEAE37         2389.8065079                    1       0.666989521501                  nan                  nan           33.3509534                  nan
               MQEAE39         2465.4769137                    1      0.1302494655594                  nan                  nan           34.4742177                  nan
               MQD3E33         2501.9356578                    1      0.6999782145646                  nan                  nan           34.9378656                  nan
               MQEAE41         2541.1473195                    1      0.4430929787788                  nan                  nan           35.5974819                  nan
              MQTAOTE1         2616.1355465                    1     0.08352121949799                  nan                  nan             36.64627                  nan
              MQTAOTE2         2660.4019155                    1      0.9855463083083                  nan                  nan           37.0780795                  nan
               MQEAE44         2735.3901425                    1      0.4876026104605                  nan                  nan           38.1268676                  nan
               MQEAE45         2784.0341494                    1      0.3241830868368                  nan                  nan           38.9346716                  nan
               MQD3E40           2850.27221                    1      -1.156537328729                  nan                  nan           39.9097482                  nan
               MQLA2RE         2920.9780873                    1       1.529239964565                  nan                  nan           41.0885679                  nan
               MQLB8RE         2942.8131119                    1      0.5058721261261                  nan                  nan           41.6299859                  nan
               MQLB1RE         2960.9918734                    1      -0.430033979522                  nan                  nan           42.3540933                  nan
               MQLC7RE         2989.1433603                    1      0.8769225211712                  nan                  nan            42.854773                  nan
               MQLC3RE         3003.3799331                    1      -1.370297652703                  nan                  nan           43.3284036                  nan
                MQC2RE         3013.8146988                    1     -0.5994517926327                  nan                  nan           43.3540103                  nan
                MQC1RE         3015.7846995                    1      0.2569886888225                  nan                  nan           43.3550008                  nan
