@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:27:19"
@ Model_directory %s "model/"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ Q1 %le 0.5439538507440754
@ Q2 %le 0.5978671395483831
@ FILENAME %s "getCOy.out"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL               DELTAY
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       1.038643291642                  nan                  nan            0.2490992                  nan
                MQC2LE            2.2500008                    1      0.4891052358336                  nan                  nan            0.2499778                  nan
               MQLC3LE           12.9355133                    1       1.235552050751                  nan                  nan            0.2953789                  nan
               MQLC7LE           27.2720861                    1       1.924550232232                  nan                  nan            0.7492946                  nan
               MQLB1LE           55.2235731                    1      0.4847657386724                  nan                  nan            1.2500394                  nan
               MQLB4LE           77.1787307                    1      0.5134917935435                  nan                  nan            1.9465966                  nan
               MQLA2LE           98.9121927                    1      0.5859965855856                  nan                  nan            2.4533248                  nan
               MQLA5LE          119.0986538                    1      0.1120062266377                  nan                  nan              2.94926                  nan
                MQD3E1          164.5639584                    1      0.2959381391829                  nan                  nan            3.4064553                  nan
                MQEAE4          230.8020191                    1      0.3743948965465                  nan                  nan            4.3815318                  nan
                MQD3E4          270.0136808                    1       1.300422541842                  nan                  nan            5.0411482                  nan
                MQEAE6          306.4724249                    1      0.9901368714214                  nan                  nan            5.5047961                  nan
              MQTATNE1          354.4092937                    1       1.261563074725                  nan                  nan            6.2268103                  nan
              MQTATNE2          397.7476034                    1      0.8208901043544                  nan                  nan            6.6685508                  nan
                MQEAE8          472.7108711                    1     -0.9794296601602                  nan                  nan            7.7060253                  nan
                MQD3E8          511.9225329                    1     -0.1119493663114                  nan                  nan            8.3656416                  nan
               MQEAE10          548.3812769                    1      0.4693981593479                  nan                  nan            8.8292895                  nan
               MQEAE11          597.0252838                    1       1.178838753203                  nan                  nan            9.6370935                  nan
               MQR2NE1          696.7698054                    1      -1.141499943343                  nan                  nan             10.85891                  nan
               MQFRNE3          753.3246054                    1      0.3611365868645                  nan                  nan           11.4337841                  nan
               MQDRNE5          781.6020054                    1     -0.2615459655325                  nan                  nan           11.7122452                  nan
               MQEAE13           881.197528                    1        1.45696708048                  nan                  nan           12.8899378                  nan
               MQD3E12          947.4355886                    1     0.06862837900221                  nan                  nan           13.8650143                  nan
               MQEAE16          983.8943327                    1     -0.4340369981982                  nan                  nan           14.3286622                  nan
               MQD3E14         1023.1059944                    1     -0.1468483724578                  nan                  nan           14.9882786                  nan
               MQEAE18         1059.5647385                    1      0.8603585144144                  nan                  nan           15.4519265                  nan
              MQTANFE1         1107.5016074                    1      -0.125957108601                  nan                  nan           16.1739407                  nan
               MQD3E16         1189.3444407                    1       1.407774196897                  nan                  nan           17.1895078                  nan
               MQEAE20         1225.8031848                    1     -0.2686771859831                  nan                  nan           17.6531557                  nan
               MQD3E18         1265.0148465                    1        1.42829222042                  nan                  nan            18.312772                  nan
               MQEAE22         1301.4735906                    1      0.2369793979669                  nan                  nan           18.7764199                  nan
               MQEAE23         1350.1175975                    1      0.1377721142791                  nan                  nan           19.5842239                  nan
                 MQI6E         1404.3012987                    1      0.1160423706509                  nan                  nan           20.2018289                  nan
                 MQI5E         1418.7440064                    1       1.108611119419                  nan                  nan           20.2546404                  nan
                 MQI4E         1424.1361014                    1      0.7089638760761                  nan                  nan           20.2734103                  nan
                MQX2RE         1494.6206604                    1      0.7064241991491                  nan                  nan           21.2341795                  nan
                 MQM2E         1564.3492168                    1      0.1065335839507                  nan                  nan           22.0286912                  nan
                 MQM7E         1608.8759522                    1       1.694676564965                  nan                  nan           22.6624348                  nan
               MQD3E21         1671.2575666                    1       2.264338832983                  nan                  nan           23.4501631                  nan
               MQEAE27         1710.4692283                    1     -0.7117334447948                  nan                  nan           24.1097794                  nan
