* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LPE649           MULT                          .6500002         4.3244490       140.8206032        -6.4985509      -216.6286933          .2257083          .2492655          .0000000 2.829299392438E-6 7.208349496640E-5          .2257083          .2492655
  QC1LPE651           MULT                          .6500002         4.3244490       140.8206032        -6.4985412      -216.6290094          .2257083          .2492655          .0000000 3.012217618784E-6 8.698126661714E-5          .2257083          .2492655
  QC1LE655            MULT                          .6500002         4.3244490       140.8206032        -6.4985275      -216.6294559          .2257083          .2492655 -6.43388830025E-7 1.05224658645E-10 4.52435633731E-11          .2257083          .2492655
  QC1LPE659           MULT                          .6600002         4.4554184       145.1865183        -6.5984822      -219.9619226          .2260709          .2492767          .0000000 3.012217618784E-6 8.698126661714E-5          .2260709          .2492767
  QC1LPE661           MULT                          .6600002         4.4554184       145.1865183        -6.5984681      -219.9623825          .2260709          .2492767          .0000000 2.982960427901E-6 1.046477864238E-4          .2260709          .2492767
  QC1LE665            MULT                          .6600002         4.4554184       145.1865182        -6.5984493      -219.9629919          .2260709          .2492767 -8.81296777287E-7 1.08441416735E-10 4.58403061098E-11          .2260709          .2492767
  QC1LPE669           MULT                          .6700002         4.5883863       149.6191001        -6.6983934      -223.2952891          .2264229          .2492875          .0000000 2.982960427901E-6 1.046477864238E-4          .2264229          .2492875
  QC1LPE671           MULT                          .6700002         4.5883863       149.6190999        -6.6983741      -223.2959153          .2264229          .2492875          .0000000 2.478467877449E-6 1.228701161065E-4          .2264229          .2492875
  QC1LE675            MULT                          .6700002         4.5883863       149.6190996        -6.6983513      -223.2966555          .2264229          .2492875 -1.21986763457E-6 1.12100942711E-10 4.44039505941E-11          .2264229          .2492875
  QC1LPE679           MULT                          .6800002         4.7233525       154.1183494        -6.7982800      -226.6286406          .2267647          .2492980          .0000000 2.478467877449E-6 1.228701161065E-4          .2267647          .2492980
