* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LE1635           MULT                         1.6300008        41.2670866       537.6119164       -57.2774253       228.4053438          .2397396          .2497284 -1.48095829947E-6 -7.56085059538E-4 6.423813022180E-6          .2397396          .2497284
  QC1LE1645           MULT                         1.6400008        42.4209045       533.0494693       -58.1047317       227.8379695          .2397776          .2497313 -1.37184200340E-6 -2.53239714196E-4 5.109064177169E-6          .2397776          .2497313
  QC1LE1655           MULT                         1.6500008        43.5910694       528.5011057       -58.9118774       226.9979540          .2398146          .2497343 -1.19397184788E-6 -8.60456228439E-5 2.598822745967E-6          .2398146          .2497343
  QC1LE1665           MULT                         1.6600008        44.7773092       523.9704444       -59.7121338       226.0680352          .2398507          .2497373 -1.02147775465E-6 -3.06375888536E-5 1.277864414327E-6          .2398507          .2497373
  QC1LE1675           MULT                         1.6700008        45.9795309       519.4586782       -60.5100483       225.1085563          .2398857          .2497404 -8.73549504282E-7 -1.16459081721E-5 6.723333859222E-7          .2398857          .2497404
  QC1LE1685           MULT                         1.6800008        47.1977027       514.9662023       -61.3071407       224.1390215          .2399199          .2497435 -7.51723035341E-7 -4.76472460686E-6 3.780789313879E-7          .2399199          .2497435
  QC1LE1695           MULT                         1.6900008        48.4318134       510.4931535       -62.1039284       223.1658695          .2399532          .2497466 -6.52590209403E-7 -2.09822142279E-6 2.315662912799E-7          .2399532          .2497466
  QC1LE1705           MULT                         1.7000008        49.6818587       506.0395816       -62.9005954       222.1913256          .2399856          .2497497 -5.71951622575E-7 -9.89469829646E-7 1.632820514352E-7          .2399856          .2497497
  QC1LE1715           MULT                         1.7100008        50.9478367       501.6055063       -63.6972112       221.2162069          .2400173          .2497529 -5.06043840371E-7 -4.95972287375E-7 1.312315962683E-7          .2400173          .2497529
  QC1LE1725           MULT                         1.7200008        52.2297469       497.1909360       -64.4938038       220.2408341          .2400481          .2497561 -4.51798893670E-7 -2.62124873483E-7 1.102267778494E-7          .2400481          .2497561
  QC1LE1735           MULT                         1.7300008        53.5275888       492.7958743       -65.2903851       219.2653416          .2400782          .2497593 -4.06803530421E-7 -1.44884925892E-7 9.166629377760E-8          .2400782          .2497593
  QC1LE1745           MULT                         1.7400008        54.8413623       488.4203231       -66.0869607       218.2897896          .2401076          .2497625 -3.69183622253E-7 -8.30972828657E-8 6.879312936604E-8          .2401076          .2497625
  QC1LE1755           MULT                         1.7500008        56.1710673       484.0642832       -66.8835332       217.3142064          .2401363          .2497658 -3.37487110981E-7 -4.92227845286E-8 5.618852823855E-8          .2401363          .2497658
  QC1LE1765           MULT                         1.7600008        57.5167036       479.7277551       -67.6801040       216.3386062          .2401643          .2497691 -3.10585028754E-7 -2.99669004614E-8 4.962909053085E-8          .2401643          .2497691
  QC1LE1775           MULT                         1.7700008        58.8782714       475.4107392       -68.4766738       215.3629964          .2401916          .2497724 -2.87593969241E-7 -1.86403035012E-8 4.584474930763E-8          .2401916          .2497724
  QC1LE1785           MULT                         1.7800008        60.2557706       471.1132355       -69.2732429       214.3873811          .2402183          .2497758 -2.67817619641E-7 -1.17872800714E-8 4.345545227393E-8          .2402183          .2497758
  QC1LE1795           MULT                         1.7900008        61.6492012       466.8352441       -70.0698117       213.4117624          .2402445          .2497792 -2.50702987492E-7 -7.54261798790E-9 4.164385738019E-8          .2402445          .2497792
  QC1LE1805           MULT                         1.8000008        63.0585631       462.5767651       -70.8663803       212.4361416          .2402700          .2497826 -2.35807142733E-7 -4.85674423461E-9 4.041264019445E-8          .2402700          .2497826
  QC1LE1815           MULT                         1.8100008        64.4838564       458.3377986       -71.6629487       211.4605195          .2402949          .2497861 -2.22771592735E-7 -3.12712065704E-9 3.950232108657E-8          .2402949          .2497861
  QC1LE1825           MULT                         1.8200008        65.9250811       454.1183445       -72.4595170       210.4848966          .2403194          .2497896 -2.11301604483E-7 -1.99821102048E-9 3.867911555556E-8          .2403194          .2497896
  QC1LE1835           MULT                         1.8300008        67.3822372       449.9184028       -73.2560853       209.5092732          .2403432          .2497931 -2.01147464354E-7 -1.25263985970E-9 3.808065154152E-8          .2403432          .2497931
  QC1LE1845           MULT                         1.8400008        68.8553246       445.7379737       -74.0526535       208.5336494          .2403666          .2497966 -1.92082582493E-7 -7.5529372331E-10 3.771625061343E-8          .2403666          .2497966
  QC1LE1855           MULT                         1.8500008        70.3443433       441.5770570       -74.8492216       207.5580254          .2403895          .2498002 -1.83866602891E-7 -4.2148318206E-10 3.742737333532E-8          .2403895          .2498002
  QC1LE1865           MULT                         1.8600008        71.8492935       437.4356528       -75.6457898       206.5824012          .2404119          .2498038 -1.76156698054E-7 -1.9850756866E-10 3.719760063873E-8          .2404119          .2498038
  QC1LE1875           MULT                         1.8700008        73.3701750       433.3137611       -76.4423579       205.6067769          .2404338          .2498075 -1.68232024816E-7 -4.9805582716E-11 3.698646234607E-8          .2404338          .2498075
  QC1LE1885           MULT                         1.8800008        74.9069878       429.2113818       -77.2389260       204.6311526          .2404552          .2498112 -1.58104410033E-7 4.85395672145E-11 3.680808907148E-8          .2404552          .2498112
  QC1LE1895           MULT                         1.8900008        76.4597321       425.1285151       -78.0354942       203.6555282          .2404763          .2498149 -1.41409063462E-7 1.12733347895E-10 3.673045039606E-8          .2404763          .2498149
  QC2LE1905           MULT                         1.9000008        78.0284077       421.0651608       -78.8320623       202.6799038          .2404969          .2498187 -2.6387815109E-14 7.70813817536E-10 -3.3769315124E-16          .2404969          .2498187
  QC2LE1915           MULT                         1.9100008        79.6130146       417.0213190       -79.6286303       201.7042791          .2405171          .2498225 -3.3179551811E-14 1.033824811823E-9 -3.1900569639E-16          .2405171          .2498225
  QC2LE1925           MULT                         1.9200008        81.2135529       412.9969897       -80.4251983       200.7286544          .2405369          .2498263 -3.7843469831E-14 1.243229321708E-9 -1.8252572540E-16          .2405369          .2498263
  QC2LE1935           MULT                         1.9300008        82.8300226       408.9921729       -81.2217663       199.7530295          .2405563          .2498302 -4.0949712222E-14 1.429284226451E-9 1.42268755821E-17          .2405563          .2498302
  QC2LE1945           MULT                         1.9400008        84.4624236       405.0068685       -82.0183343       198.7774046          .2405753          .2498341 -4.3201136512E-14 1.620123806512E-9 1.56904158406E-16          .2405753          .2498341
  QC2LE1955           MULT                         1.9500008        86.1107560       401.0410767       -82.8149023       197.8017796          .2405940          .2498380 -4.5023505093E-14 1.831411979850E-9 2.72517705544E-16          .2405940          .2498380
  QC2LE1965           MULT                         1.9600008        87.7750197       397.0947973       -83.6114702       196.8261545          .2406123          .2498420 -4.6626941387E-14 2.072577609332E-9 5.45774257954E-16          .2406123          .2498420
  QC2LE1975           MULT                         1.9700008        89.4552148       393.1680305       -84.4080381       195.8505293          .2406302          .2498461 -4.8109044460E-14 2.351357251986E-9 1.11679533480E-15          .2406302          .2498461
  QC2LE1985           MULT                         1.9800008        91.1513412       389.2607762       -85.2046060       194.8749041          .2406479          .2498501 -4.9512742651E-14 2.675819413870E-9 2.10960548780E-15          .2406479          .2498501
  QC2LE1995           MULT                         1.9900008        92.8633991       385.3730343       -86.0011739       193.8992788          .2406652          .2498542 -5.0852953573E-14 3.055338162653E-9 3.45665084429E-15          .2406652          .2498542
  QC2LE2005           MULT                         2.0000008        94.5913882       381.5048050       -86.7977417       192.9236533          .2406821          .2498584 -5.2128493872E-14 3.501258989476E-9 4.89223079237E-15          .2406821          .2498584
  QC2LE2015           MULT                         2.0100008        96.3353087       377.6560882       -87.5943094       191.9480277          .2406988          .2498626 -5.3327363812E-14 4.027548904009E-9 6.47210931232E-15          .2406988          .2498626
  QC2LE2025           MULT                         2.0200008        98.0951606       373.8268839       -88.3908771       190.9724019          .2407152          .2498668 -5.4428919619E-14 4.651563714067E-9 8.43031336692E-15          .2407152          .2498668
  QC2LE2035           MULT                         2.0300008        99.8709439       370.0171922       -89.1874447       189.9967759          .2407313          .2498711 -5.5404489008E-14 5.395022675117E-9 1.08949747271E-14          .2407313          .2498711
  QC2LE2045           MULT                         2.0400008       101.6626584       366.2270129       -89.9840122       189.0211497          .2407471          .2498754 -5.6216967861E-14 6.285282272297E-9 1.39429622051E-14          .2407471          .2498754
  QC2LE2055           MULT                         2.0500008       103.4703044       362.4563462       -90.7805796       188.0455232          .2407626          .2498798 -5.6819629750E-14 7.357024610165E-9 1.78597451307E-14          .2407626          .2498798
  QC2LE2065           MULT                         2.0600008       105.2938817       358.7051920       -91.5771469       187.0698963          .2407778          .2498842 -5.7154391831E-14 8.654516801155E-9 2.31666460488E-14          .2407778          .2498842
  QC2LE2075           MULT                         2.0700008       107.1333903       354.9735504       -92.3737140       186.0942691          .2407928          .2498887 -5.7149558501E-14 1.023466067177E-8 3.03254658515E-14          .2407928          .2498887
  QC2LE2085           MULT                         2.0800008       108.9888303       351.2614213       -93.1702809       185.1186414          .2408075          .2498932 -5.6716786254E-14 1.217114487346E-8 3.96630140522E-14          .2408075          .2498932
  QC2LE2095           MULT                         2.0900008       110.8602016       347.5688049       -93.9668475       184.1430131          .2408220          .2498977 -5.5747256791E-14 1.456014800001E-8 5.15703410548E-14          .2408220          .2498977
  QC2LE2105           MULT                         2.1000008       112.7475042       343.8957010       -94.7634139       183.1673841          .2408362          .2499023 -5.4106829074E-14 1.752824548620E-8 6.66922214916E-14          .2408362          .2499023
  QC2LE2115           MULT                         2.1100008       114.6507382       340.2421098       -95.5599799       182.1917543          .2408502          .2499070 -5.1629866514E-14 2.124347893865E-8 8.60100749560E-14          .2408502          .2499070
  QC2LE2125           MULT                         2.1200008       116.5699036       336.6080313       -96.3565454       181.2161234          .2408640          .2499117 -4.8111580768E-14 2.593101339246E-8 1.10831799561E-13          .2408640          .2499117
  QC2LE2135           MULT                         2.1300008       118.5050003       332.9934657       -97.1531104       180.2404912          .2408776          .2499164 -4.3298343552E-14 3.189552489816E-8 1.42753398145E-13          .2408776          .2499164
  QC2LE2145           MULT                         2.1400008       120.4560284       329.3984129       -97.9496746       179.2648575          .2408909          .2499212 -3.6875369953E-14 3.955358032293E-8 1.83825291084E-13          .2408909          .2499212
  QC2LE2155           MULT                         2.1500008       122.4229879       325.8228733       -98.7462379       178.2892219          .2409040          .2499261 -2.8451088431E-14 4.948103878973E-8 2.36561917608E-13          .2409040          .2499261
  QC2LE2165           MULT                         2.1600008       124.4058788       322.2668469       -99.5428000       177.3135838          .2409169          .2499310 -1.7537298629E-14 6.248333433465E-8 3.03927490824E-13          .2409169          .2499310
  QC2LE2175           MULT                         2.1700008       126.4047013       318.7303341      -100.3393605       176.3379428          .2409296          .2499360 -3.5239125227E-15 7.970110203557E-8 3.89353000334E-13          .2409296          .2499360
  QC2LE2185           MULT                         2.1800008       128.4194552       315.2133350      -101.1359188       175.3622980          .2409421          .2499410 1.43532448874E-14 1.027712023259E-7 4.96191188161E-13          .2409421          .2499410
  QC2LE2195           MULT                         2.1900008       130.4501406       311.7158497      -101.9324740       174.3866479          .2409544          .2499461 3.70534362968E-14 1.340759295364E-7 6.26986981902E-13          .2409544          .2499461
  QC2LE2205           MULT                         2.2000008       132.4967574       308.2378782      -102.7290246       173.4109903          .2409665          .2499512 6.57831627791E-14 1.771348969966E-7 7.81954184498E-13          .2409665          .2499512
  QC2LE2215           MULT                         2.2100008       134.5593052       304.7794203      -103.5255688       172.4353220          .2409784          .2499564 1.02062316650E-13 2.372317412504E-7 9.55266315507E-13          .2409784          .2499564
  QC2LE2225           MULT                         2.2200008       136.6377840       301.3404761      -104.3221040       171.4596377          .2409901          .2499616 1.47807591909E-13 3.224342830016E-7 1.12798888853E-12          .2409901          .2499616
  QC2LE2235           MULT                         2.2300008       138.7321934       297.9210457      -105.1186262       170.4839303          .2410017          .2499670 2.05436564081E-13 4.452864036896E-7 1.25473701588E-12          .2410017          .2499670
  QC2LE2245           MULT                         2.2400008       140.8425331       294.5211298      -105.9151297       169.5081890          .2410131          .2499723 2.77995387072E-13 6.256691879140E-7 1.23837594945E-12          .2410131          .2499723
  MQC2LE              MONI                         2.2500008       142.9688048       291.1407337      -106.7116067       168.5324000          .2410243          .2499778          .0000000          .0000000          .0000000          .2410243          .2499778
  QC2LE2255           MULT                         2.2500008       142.9688026       291.1407293      -106.7116054       168.5323983          .2410243          .2499778 3.69311070726E-13 8.957385747754E-7 8.83306390350E-13          .2410243          .2499778
  QC2LE2265           MULT                         2.2600008       145.1110015       287.7798453      -107.5080393       167.5565339          .2410353          .2499833 4.84164155087E-13 1.308626556218E-6 -1.8946691954E-13          .2410353          .2499833
  QC2LE2275           MULT                         2.2700008       147.2691285       284.4384800      -108.3044087       166.5805578          .2410462          .2499888 6.28466231600E-13 1.954103677979E-6 -2.6939825856E-12          .2410462          .2499888
  QC2LE2285           MULT                         2.2800008       149.4431822       281.1166361      -109.1006761       165.6044088          .2410569          .2499945 8.09403228444E-13 2.987373872958E-6 -7.9430254555E-12          .2410569          .2499945
  QC2LE2295           MULT                         2.2900008       151.6331598       277.8143182      -109.8967784       164.6279853          .2410675          .2500002 1.03545908711E-12 4.683097497240E-6 -1.8289627747E-11          .2410675          .2500002
  QC2LE2305           MULT                         2.3000008       153.8390569       274.5315334      -110.6926069       163.6511156          .2410779          .2500059 1.31614793355E-12 7.538625559130E-6 -3.7824909686E-11          .2410779          .2500059
  QC2LE2315           MULT                         2.3100008       156.0608661       271.2682935      -111.4879693       162.6735015          .2410882          .2500117 1.66113102915E-12 1.247422320233E-5 -7.3380760651E-11          .2410882          .2500117
  QC2LE2325           MULT                         2.3200008       158.2985746       268.0246186      -112.2825169       161.6946129          .2410983          .2500176 2.07815418928E-12 2.122488613429E-5 -1.3572881270E-10          .2410983          .2500176
  QC2LE2335           MULT                         2.3300008       160.5521594       264.8005437      -113.0756037       160.7134870          .2411083          .2500236 2.56892764473E-12 3.710670796359E-5 -2.4044077189E-10          .2411083          .2500236
  QC2LE2345           MULT                         2.3400008       162.8215791       261.5961312      -113.8660086       159.7283420          .2411182          .2500297 3.12183491534E-12 6.649335742796E-5 -4.0707031564E-10          .2411182          .2500297
  QC2LE2355           MULT                         2.3500008       165.1067568       258.4114951      -114.6513927       158.7358393          .2411279          .2500358 3.70064604199E-12 1.215546321043E-4 -6.5447968394E-10          .2411279          .2500358
  QC2LE2365           MULT                         2.3600008       167.4075471       255.2468453      -115.4272542       157.7297037          .2411374          .2500420 4.23002633311E-12 2.249648924230E-4 -9.9083352982E-10          .2411374          .2500420
  QC2LE2375           MULT                         2.3700008       169.7236742       252.1025720      -116.1850036       156.6982645          .2411469          .2500483 4.58223560017E-12 4.168813521136E-4 -1.40145910613E-9          .2411469          .2500483
  QC2LE2385           MULT                         2.3800008       172.0546171       248.9793930      -116.9086879       155.6204521          .2411562          .2500546 4.57410436270E-12 7.622770718077E-4 -1.84525559630E-9          .2411562          .2500546
  QC2LE2395           MULT                         2.3900008       174.3994150       245.8785976      -117.5701869       154.4603100          .2411654          .2500610 3.98555496018E-12          .0013511 -2.27051676374E-9          .2411654          .2500610
  QC2LE2405           MULT                         2.4000008       176.7563719       242.8023949      -118.1240191       153.1619035          .2411745          .2500676 2.60613362959E-12          .0022771 -2.64518326596E-9          .2411745          .2500676
  QC2LE2415           MULT                         2.4100008       179.1226924       239.7543091      -118.5056160       151.6497817          .2411834          .2500742 3.02973704705E-13          .0035844 -2.97861848173E-9          .2411834          .2500742
  QC2LE2425           MULT                         2.4200008       181.4941774       236.7394391      -118.6391463       149.8419705          .2411922          .2500808 -2.9135807472E-12          .0052056 -3.31523803244E-9          .2411922          .2500808
  QC2LE2435           MULT                         2.4300008       183.8651987       233.7643202      -118.4575987       147.6766720          .2412009          .2500876 -6.8608641154E-12          .0069470 -3.70259371024E-9          .2412009          .2500876
  QC2LE2445           MULT                         2.4400008       186.2291171       230.8362405      -117.9271048       145.1401511          .2412095          .2500945 -1.1214255339E-11          .0085609 -4.15766741737E-9          .2412095          .2500945
  QC2LE2455           MULT                         2.4500008       188.5790706       227.9621853      -117.0595081       142.2760482          .2412180          .2501014 -1.5587704872E-11          .0098588 -4.65615654876E-9          .2412180          .2501014
  QC2LE2465           MULT                         2.4600008       190.9088060       225.1478609      -115.9040579       139.1684378          .2412264          .2501084 -1.9627657915E-11          .0107776 -5.14721426002E-9          .2412264          .2501084
  QC2LE2475           MULT                         2.4700008       193.2132083       222.3971916      -114.5253827       135.9113585          .2412347          .2501155 -2.3082714229E-11          .0113626 -5.57735188644E-9          .2412347          .2501155
  QC2LE2485           MULT                         2.4800008       195.4884044       219.7123670      -112.9829876       132.5843413          .2412429          .2501227 -2.5830408239E-11          .0117060 -5.90934808160E-9          .2412429          .2501227
  QC2LE2495           MULT                         2.4900008       197.7315619       217.0942263      -111.3213437       129.2430295          .2412510          .2501300 -2.7863872781E-11          .0118965 -6.13043376920E-9          .2412510          .2501300
  QC2LE2505           MULT                         2.5000008       199.9405848       214.5427141      -109.5695016       125.9213767          .2412590          .2501374 -2.9254883833E-11          .0119982 -6.24858555943E-9          .2412590          .2501374
  QC2LE2515           MULT                         2.5100008       202.1138430       212.0572492      -107.7449560       122.6380667          .2412669          .2501449 -3.0112697977E-11          .0120514 -6.28166641881E-9          .2412669          .2501449
  QC2LE2525           MULT                         2.5200008       204.2499834       209.6369706      -105.8578486       119.4024750          .2412747          .2501524 -3.0552083456E-11          .0120787 -6.24921879937E-9          .2412747          .2501524
  QC2LE2535           MULT                         2.5300008       206.3478132       207.2808819      -103.9140651       116.2187690          .2412825          .2501600 -3.0674887376E-11          .0120927 -6.17056951755E-9          .2412825          .2501600
  QC2LE2545           MULT                         2.5400008       208.4062344       204.9879314      -101.9171617       113.0883480          .2412902          .2501678 -3.0562939551E-11          .0120999 -6.06308369340E-9          .2412902          .2501678
  QC2LE2555           MULT                         2.5500008       210.4242076       202.7570536       -99.8694646       110.0111880          .2412978          .2501756 -3.0277976694E-11          .0121035 -5.93859010670E-9          .2412978          .2501756
  QC2LE2565           MULT                         2.5600008       212.4007338       200.5871907       -97.7726666       106.9865510          .2413053          .2501835 -2.9864872639E-11          .0121053 -5.80284123451E-9          .2413053          .2501835
  QC2LE2575           MULT                         2.5700008       214.3348448       198.4773030       -95.6281437       104.0133499          .2413128          .2501914 -2.9355659060E-11          .0121062 -5.65817424562E-9          .2413128          .2501914
  QC2LE2585           MULT                         2.5800008       216.2255981       196.4263745       -93.4371192       101.0903342          .2413202          .2501995 -2.8773034294E-11          .0121067 -5.50569032388E-9          .2413202          .2501995
  QC2LE2595           MULT                         2.5900008       218.0720753       194.4334147       -91.2007487        98.2161832          .2413275          .2502076 -2.8133060949E-11          .0121069 -5.34594561963E-9          .2413275          .2502076
  QC2LE2605           MULT                         2.6000008       219.8733807       192.4974598       -88.9201637        95.3895525          .2413347          .2502159 -2.7447191325E-11          .0121070 -5.17930691560E-9          .2413347          .2502159
  QC2LE2615           MULT                         2.6100008       221.6286412       190.6175728       -86.5964931        92.6090967          .2413420          .2502242 -2.6723769676E-11          .0121071 -5.00675381302E-9          .2413420          .2502242
  QC2LE2625           MULT                         2.6200008       223.3370065       188.7928438       -84.2308749        89.8734810          .2413491          .2502326 -2.5969055060E-11          .0121071 -4.83050398354E-9          .2413491          .2502326
  QC2LE2635           MULT                         2.6300008       224.9976491       187.0223890       -81.8244610        87.1813864          .2413562          .2502410 -2.5187805127E-11          .0121071 -4.65306509109E-9          .2413562          .2502410
  QC2LE2645           MULT                         2.6400008       226.6097648       185.3053512       -79.3784199        84.5315120          .2413633          .2502496 -2.4383588552E-11          .0121071 -4.47531779149E-9          .2413633          .2502496
  QC2LE2655           MULT                         2.6500008       228.1725727       183.6408988       -76.8939377        81.9225758          .2413703          .2502582 -2.3559036039E-11          .0121071 -4.29629592716E-9          .2413703          .2502582
  QC2LE2665           MULT                         2.6600008       229.6853161       182.0282257       -74.3722185        79.3533150          .2413772          .2502669 -2.2716105865E-11          .0121071 -4.11492275397E-9          .2413772          .2502669
  QC2LE2675           MULT                         2.6700008       231.1472625       180.4665508       -71.8144837        76.8224854          .2413841          .2502757 -2.1856293981E-11          .0121071 -3.93112790260E-9          .2413841          .2502757
  QC2LE2685           MULT                         2.6800008       232.5577038       178.9551180       -69.2219719        74.3288615          .2413910          .2502846 -2.0980726629E-11          .0121071 -3.74530123818E-9          .2413910          .2502846
  QC2LE2695           MULT                         2.6900008       233.9159570       177.4931950       -66.5959388        71.8712357          .2413978          .2502935 -2.0090197502E-11          .0121071 -3.55744506572E-9          .2413978          .2502935
  QC2LE2705           MULT                         2.7000008       235.2213644       176.0800740       -63.9376558        69.4484175          .2414046          .2503025 -1.9185222747E-11          .0121071 -3.36706918915E-9          .2414046          .2503025
  QC2LE2715           MULT                         2.7100008       236.4732939       174.7150706       -61.2484103        67.0592335          .2414113          .2503116 -1.8266106519E-11          .0121071 -3.17384499819E-9          .2414113          .2503116
  QC2LE2725           MULT                         2.7200008       237.6711391       173.3975236       -58.5295044        64.7025265          .2414181          .2503207 -1.7332981127E-11          .0121071 -2.97863819704E-9          .2414181          .2503207
  QC2LE2735           MULT                         2.7300008       238.8143201       172.1267950       -55.7822546        62.3771552          .2414247          .2503299 -1.6385735257E-11          .0121071 -2.78362134480E-9          .2414247          .2503299
  QC2LE2745           MULT                         2.7400008       239.9022831       170.9022694       -53.0079915        60.0819934          .2414314          .2503392 -1.5423791784E-11          .0121071 -2.59058126245E-9          .2414314          .2503392
  QC2LE2755           MULT                         2.7500008       240.9345013       169.7233536       -50.2080587        57.8159296          .2414380          .2503485 -1.4445861467E-11          .0121071 -2.39921385040E-9          .2414380          .2503485
  QC2LE2765           MULT                         2.7600008       241.9104750       168.5894769       -47.3838125        55.5778666          .2414446          .2503580 -1.3449789886E-11          .0121071 -2.20773665964E-9          .2414446          .2503580
  QC2LE2775           MULT                         2.7700008       242.8297314       167.5000899       -44.5366215        53.3667212          .2414512          .2503674 -1.2432428591E-11          .0121071 -2.01462150808E-9          .2414512          .2503674
  QC2LE2785           MULT                         2.7800008       243.6918255       166.4546651       -41.6678663        51.1814237          .2414577          .2503770 -1.1389360796E-11          .0121070 -1.81906193976E-9          .2414577          .2503770
  QC2LE2795           MULT                         2.7900008       244.4963398       165.4526961       -38.7789398        49.0209181          .2414642          .2503865 -1.0314379987E-11          .0121070 -1.62029723613E-9          .2414642          .2503865
  QC2LE2805           MULT                         2.8000008       245.2428850       164.4936975       -35.8712482        46.8841629          .2414707          .2503962 -9.1986935117E-12          .0121069 -1.41706867793E-9          .2414707          .2503962
  QC2LE2815           MULT                         2.8100008       245.9311001       163.5772046       -32.9462140        44.7701326          .2414772          .2504059 -8.0297626632E-12          .0121066 -1.20776694036E-9          .2414772          .2504059
  QC2LE2825           MULT                         2.8200008       246.5606525       162.7027729       -30.0052822        42.6778216          .2414837          .2504156 -6.7895104048E-12          .0121062 -9.9106599873E-10          .2414837          .2504156
  QC2LE2835           MULT                         2.8300008       247.1312391       161.8699779       -27.0499329        40.6062526          .2414901          .2504255 -5.4515363976E-12          .0121053 -7.6625311822E-10          .2414901          .2504255
  QC2LE2845           MULT                         2.8400008       247.6425870       161.0784141       -24.0817081        38.5544927          .2414965          .2504353 -3.9771379034E-12          .0121035 -5.3162331637E-10          .2414965          .2504353
  QC2LE2855           MULT                         2.8500008       248.0944552       160.3276939       -21.1022633        36.5216866          .2415030          .2504452 -2.3105377057E-12          .0121000 -2.8073337710E-10          .2415030          .2504452
  QC2LE2865           MULT                         2.8600008       248.4866379       159.6174453       -18.1134708        34.5071207          .2415094          .2504552 -3.7484650662E-13          .0120931 3.04484129037E-13          .2415094          .2504552
  QC2LE2875           MULT                         2.8700008       248.8189713       158.9473079       -15.1176228        32.5103501          .2415158          .2504652 1.92815031329E-12          .0120796 3.32614820258E-10          .2415158          .2504652
  QC2LE2885           MULT                         2.8800008       249.0913451       158.3169253       -12.1178251        30.5314438          .2415222          .2504752 4.70906695778E-12          .0120532 7.43591972694E-10          .2415222          .2504752
  QC2LE2895           MULT                         2.8900008       249.3037271       157.7259295        -9.1187527        28.5714540          .2415286          .2504853 8.06452503135E-12          .0120020 1.266143702446E-9          .2415286          .2504853
  QC2LE2905           MULT                         2.9000008       249.4562085       157.1739132        -6.1280628        26.6332923          .2415349          .2504954 1.20235463863E-11          .0119039 1.934088477327E-9          .2415349          .2504954
  QC2LE2915           MULT                         2.9100008       249.5490884       156.6603763        -3.1589214        24.7232935          .2415413          .2505055 1.64636846893E-11          .0117199 2.766402779183E-9          .2415413          .2505055
  QC2LE2925           MULT                         2.9200008       249.5830264       156.1846320         -.2341767        22.8537944          .2415477          .2505157 2.10173064735E-11          .0113875 3.734210209258E-9          .2415477          .2505157
  QC2LE2935           MULT                         2.9300008       249.5592952       155.7456502         2.6077113        21.0467937          .2415541          .2505259 2.50284268044E-11          .0108189 4.715663632420E-9          .2415541          .2505259
  QC2LE2945           MULT                         2.9400008       249.4801537       155.3418265         5.3065813        19.3377026          .2415605          .2505361 2.76481349156E-11          .0099211 5.472255197347E-9          .2415605          .2505361
  QC2LE2955           MULT                         2.9500008       249.3492941       154.9707063         7.7792820        17.7761330          .2415668          .2505464 2.81131956027E-11          .0086439 5.706327010014E-9          .2415668          .2505464
  QC2LE2965           MULT                         2.9600008       249.1721920       154.6287686         9.9306835        16.4191114          .2415732          .2505567 2.61117264403E-11          .0070429 5.221825980484E-9          .2415732          .2505567
  QC2LE2975           MULT                         2.9700008       248.9560810       154.3114405        11.6801006        15.3148255          .2415796          .2505670 2.20033814801E-11          .0053005 4.086732741349E-9          .2415796          .2505670
  QC2LE2985           MULT                         2.9800008       248.7093481       154.0134681        12.9928886        14.4832205          .2415860          .2505773 1.67086086826E-11          .0036645 2.632418427401E-9          .2415860          .2505773
  QC2LE2995           MULT                         2.9900008       248.4404519       153.7295793        13.8964910        13.9061920          .2415924          .2505876 1.13238156561E-11          .0023353 1.268288373575E-9          .2415924          .2505876
  QC2LE3005           MULT                         3.0000008       248.1568032       153.4551688        14.4682025        13.5351857          .2415988          .2505980 6.71669655473E-12          .0013884 2.75957343653E-10          .2415988          .2505980
  QC2LE3015           MULT                         3.0100008       247.8640816       153.1867138        14.8038530        13.3105045          .2416052          .2506084 3.31844837463E-12 7.838191373048E-4 -2.6928597644E-10          .2416052          .2506084
  QC2LE3025           MULT                         3.0200008       247.5661523       152.9218196        14.9890185        13.1790108          .2416117          .2506188 1.14810458793E-12 4.285171669514E-4 -4.5085330774E-10          .2416117          .2506188
  QC2LE3035           MULT                         3.0300008       247.2654033       152.6590083        15.0858606        13.1021707          .2416181          .2506292 -2.9450652911E-14 2.309907684290E-4 -4.1601128217E-10          .2416181          .2506292
  QC2LE3045           MULT                         3.0400008       246.9632079       152.3974303        15.1336624        13.0556577          .2416245          .2506396 -5.3093526292E-13 1.246063800441E-4 -2.9705201526E-10          .2416245          .2506396
  QC2LE3055           MULT                         3.0500008       246.6603204       152.1366192        15.1550836        13.0254504          .2416310          .2506501 -6.3888840786E-13 6.802350537593E-5 -1.7539244135E-10          .2416310          .2506501
  QC2LE3065           MULT                         3.0600008       246.3571446       151.8763256        15.1624897        13.0039015          .2416374          .2506606 -5.5540147388E-13 3.787045033781E-5 -8.4074996378E-11          .2416374          .2506606
  QC2LE3075           MULT                         3.0700008       246.0538955       151.6164169        15.1624353        12.9869598          .2416439          .2506710 -4.0322223523E-13 2.160400093926E-5 -2.6930912613E-11          .2416439          .2506710
  QC2LE3085           MULT                         3.0800008       245.7506876       151.3568222        15.1583605        12.9724998          .2416504          .2506815 -2.4642033126E-13 1.265986009726E-5 3.80791178821E-12          .2416504          .2506815
