@ Q1         %le              45.5460667
@ Q2         %le              43.6041000
@ OpticsFile %s      optics$file
@ SEQUENCE   %s        SuperKEKB
* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQF4E4              MONI                       274.8254620        29.1572012         9.9679438        -2.7076473          .7784462         4.7429713         5.0912725          .0567857          .0501243
  MQEAE5              MONI                       279.4460260        48.5050151         7.6858431         5.6463304        -1.2526734         4.7607693         5.1893358          .0177980          .0980633
  MQD5E5              MONI                       285.1974250         7.6607158        26.9249766          .5245025         2.0631561         4.8137921         5.2483919          .0530228          .0590561
  MQF6E3              MONI                       292.5092254         8.8850272         7.1496356         -.6920158          .6371258         4.9870170         5.3366994          .1732249          .0883075
  MQD5E6              MONI                       300.7210258         7.6607158        26.9249766         -.5245025        -2.0631561         5.1758817         5.4457400          .1888647          .1090406
  MQEAE6              MONI                       306.4724249        48.5050151         7.6858431        -5.6463304         1.2526734         5.2289045         5.5047961          .0530228          .0590561
  MQF4E5              MONI                       311.0929889        29.1572012         9.9679438         2.7076473         -.7784462         5.2467025         5.6028594          .0177980          .0980633
  MQD3E5              MONI                       315.9047700         7.4403317        20.9498176          .2028379         1.7084092         5.3034882         5.6529838          .0567857          .0501243
  MQF2E5              MONI                       326.3546744        15.5592217         6.6593999         1.9371573        -1.4349155         5.4789165         5.8563684          .1754283          .2033846
  MQD1E3              MONI                       331.4944283         5.3422016        23.8161932         -.7948461         3.1527643         5.5916237         5.9130424          .1127072          .0566740
  MQF2E6              MONI                       335.2341822        15.5592217         6.6593999        -1.9371573         1.4349155         5.6588931         5.9610278          .0672694          .0479854
  MQT1TNE1            MONI                       345.6840866         7.4403317        20.9498176         -.2028379        -1.7084092         5.8343214         6.1644124          .1754283          .2033846
  MQT2TNE1            MONI                       350.8918337        20.0134444        27.6411806        -4.0852939         3.0319945         5.9127238         6.1955322          .0784023          .0311198
