@ Q1         %le              45.5460667
@ Q2         %le              43.6041000
@ OpticsFile %s      optics$file
@ SEQUENCE   %s        SuperKEKB
* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQEAE21             MONI                      1274.4471917        48.5050151         7.6858431         5.6463304        -1.2526734        18.9875854        18.4609597          .0177980          .0980633
  MQD5E21             MONI                      1280.1985908         7.6607158        26.9249766          .5245025         2.0631561        19.0406082        18.5200157          .0530228          .0590561
  MQF6E11             MONI                      1287.5103912         8.8850272         7.1496356         -.6920158          .6371258        19.2138331        18.6083233          .1732249          .0883075
  MQD5E22             MONI                      1295.7221915         7.6607158        26.9249766         -.5245025        -2.0631561        19.4026978        18.7173639          .1888647          .1090406
  MQEAE22             MONI                      1301.4735906        48.5050151         7.6858431        -5.6463304         1.2526734        19.4557206        18.7764199          .0530228          .0590561
  MQF4E19             MONI                      1306.0941546        29.1572012         9.9679438         2.7076473         -.7784462        19.4735186        18.8744833          .0177980          .0980633
  MQD3E19             MONI                      1310.9059358         7.4403317        20.9498176          .2028379         1.7084092        19.5303043        18.9246076          .0567857          .0501243
  MQF2E23             MONI                      1321.3558401        15.5592217         6.6593999         1.9371573        -1.4349155        19.7057326        19.1279922          .1754283          .2033846
  MQD1E12             MONI                      1326.4955941         5.3422016        23.8161932         -.7948461         3.1527643        19.8184398        19.1846662          .1127072          .0566740
  MQF2E24             MONI                      1330.2353480        15.5592217         6.6593999        -1.9371573         1.4349155        19.8857093        19.2326516          .0672694          .0479854
  MQD3E20             MONI                      1340.6852523         7.4403317        20.9498176         -.2028379        -1.7084092        20.0611376        19.4360363          .1754283          .2033846
  MQF4E20             MONI                      1345.4970335        29.1572012         9.9679438        -2.7076473          .7784462        20.1179232        19.4861606          .0567857          .0501243
  MQEAE23             MONI                      1350.1175975        48.5050151         7.6858431         5.6463304        -1.2526734        20.1357212        19.5842239          .0177980          .0980633
  MQD5E23             MONI                      1355.8689966         7.6607158        26.9249766          .5245025         2.0631561        20.1887440        19.6432800          .0530228          .0590561
  MQF6E12             MONI                      1363.1807970         8.8850272         7.1496356         -.6920158          .6371258        20.3619689        19.7315875          .1732249          .0883075
  MQD5E24             MONI                      1371.3925973         7.6607158        26.9249766         -.5245025        -2.0631561        20.5508336        19.8406281          .1888647          .1090406
  MQEAE24             MONI                      1377.1439964        48.5050151         7.6858431        -5.6463304         1.2526734        20.6038564        19.8996842          .0530228          .0590561
  MQS4FRE             MONI                      1381.7705604        29.1247197         9.9772910         2.7059328         -.7794129        20.6216872        19.9978433          .0178308          .0981591
  MQSBFRE             MONI                      1385.8556779        21.6329814        13.1792315         4.6534789        -2.5976491        20.6462616        20.0588233          .0245743          .0609800
  MQS3FRE             MONI                      1387.5316670         8.9762483        23.5378083         2.8983206        -3.5829263        20.6654499        20.0739910          .0191884          .0151677
  MQS2FRE             MONI                      1395.9023673        11.2063928        11.8924351        -1.7563394          .6016386        20.9766750        20.1476495          .3112250          .0736585
  MQI7E               MONI                      1400.6952694         5.9396777        37.6518968         -.5251009         1.5239760        21.0748459        20.1840554          .0981710          .0364059
  MQI6E               MONI                      1404.3012987        12.5196316        27.8083512        -1.2996081         1.2057705        21.1435100        20.2018289          .0686640          .0177734
  MQI5E               MONI                      1418.7440064        36.6707357        69.7334913        -4.5163713         4.4926479        21.2614628        20.2546404          .1179528          .0528115
  MQI4E               MONI                      1424.1361014       102.3414091        30.1163345        -7.6626934         2.8546183        21.2754895        20.2734103          .0140267          .0187699
  MQI3E               MONI                      1438.2788014         1.9831995        70.6511009         -.4713091         7.9158532        21.5402065        20.3222958          .2647170          .0488855
  MQI2E               MONI                      1447.1215014        42.2824297         1.5299790         5.6040710         -.2679495        21.6939086        20.5430940          .1537021          .2207982
  MQX7RE              MONI                      1455.9642014         3.7704938        46.1370086        -1.8023121         4.3046879        22.0475201        20.7273549          .3536115          .1842610
  MQX6RE              MONI                      1464.8069014        96.0995783         4.1437547         8.1593649         -.1055997        22.1148006        20.8546682          .0672805          .1273133
  MQX5RE              MONI                      1472.6496014        15.0874026        16.3792574          .2469937         1.1852893        22.1516457        21.0156124          .0368451          .1609442
  MQX4RE              MONI                      1481.0306296        12.0058313         8.8407063         2.2491019        -1.5883132        22.2439477        21.1589173          .0923020          .1433049
  MQX3RE              MONI                      1492.1848654        33.7086736        64.1625511       -11.2133439        13.9244883        22.6306776        21.2225518          .3867299          .0636345
  MQX2RE              MONI                      1494.6206604        79.1438140        22.2827608         6.9773227          .9330685        22.6372352        21.2341795          .0065575          .0116277
  MQX2LE              MONI                      1516.8500577        79.1438140        22.2827608        -6.9773227         -.9330685        23.0919231        21.4731626          .4546879          .2389831
  MQX3LE              MONI                      1519.2858527        33.7086736        64.1625511        11.2133439       -13.9244883        23.0984806        21.4847903          .0065575          .0116277
  MQX4LE              MONI                      1530.4400886        12.0058313         8.8407063        -2.2491019         1.5883132        23.4852106        21.5484248          .3867299          .0636345
  MQX5LE              MONI                      1537.8211168        13.1719719        15.1291664         -.0856114        -1.1173117        23.5711905        21.6764995          .0859799          .1280747
  MQX6LE              MONI                      1546.6638168        95.5983260         4.3841982        -7.4793882         -.2096522        23.6161029        21.8830976          .0449124          .2065981
  MQX7LE              MONI                      1555.5065168        28.0568416        50.9802773         3.1887521        -4.6258413        23.6410363        21.9944586          .0249334          .1113610
  MQM2E               MONI                      1564.3492168        29.3408767        28.5508884         -.5146595         1.3770404        23.6951094        22.0286912          .0540732          .0342326
  MQM3E               MONI                      1573.1919168         4.7585936        61.6320969          .4915195        -2.6914056        23.8180921        22.0648571          .1229827          .0361659
  MQM4E               MONI                      1582.0346168        25.4492989         5.9875838        -2.3433454         1.4802105        23.9870458        22.1341190          .1689538          .0692619
  MQM5E               MONI                      1592.0168895         3.2846000        21.0610370         -.0379006        -2.1062065        24.1925451        22.3801717          .2054993          .2460528
  MQM6E               MONI                      1598.3726647        33.6759851         4.6404034        -4.3274317          .7607558        24.3125817        22.4749904          .1200366          .0948187
  MQM7E               MONI                      1608.8759522         5.5669757        35.6097046          .5811089        -3.0092630        24.4296714        22.6624348          .1170897          .1874444
  MQS2FLE             MONI                      1613.3442720        13.5902205        12.6135548        -1.6937507         2.5239594        24.5272237        22.6923118          .0975524          .0298770
  MQS3FLE             MONI                      1622.6149723         6.6507663        24.1843141        -1.9353845         2.6386072        24.8286658        22.7826674          .3014420          .0903556
  MQSBFLE             MONI                      1626.1399006        29.1610023         9.6732577        -4.4506281         1.4780883        24.8693929        22.8196791          .0407271          .0370117
  MQS4FLE             MONI                      1630.1722585        29.1247197         9.9772910        -2.7059328          .7794129        24.8908771        22.8883561          .0214842          .0686770
  MQEAE25             MONI                      1634.7988225        48.5050151         7.6858431         5.6463304        -1.2526734        24.9087078        22.9865152          .0178308          .0981591
  MQD5E25             MONI                      1640.5502216         7.6607158        26.9249766          .5245025         2.0631561        24.9617306        23.0455712          .0530228          .0590561
  MQF6E13             MONI                      1647.8620220         8.8850272         7.1496356         -.6920158          .6371258        25.1349555        23.1338788          .1732249          .0883075
  MQD5E26             MONI                      1656.0738223         7.6607158        26.9249766         -.5245025        -2.0631561        25.3238202        23.2429194          .1888647          .1090406
  MQEAE26             MONI                      1661.8252214        48.5050151         7.6858431        -5.6463304         1.2526734        25.3768430        23.3019754          .0530228          .0590561
  MQF4E21             MONI                      1666.4457854        29.1572012         9.9679438         2.7076473         -.7784462        25.3946410        23.4000388          .0177980          .0980633
  MQD3E21             MONI                      1671.2575666         7.4403317        20.9498176          .2028379         1.7084092        25.4514267        23.4501631          .0567857          .0501243
  MQF2E25             MONI                      1681.7074710        15.5592217         6.6593999         1.9371573        -1.4349155        25.6268550        23.6535477          .1754283          .2033846
  MQD1E13             MONI                      1685.4472249         5.3422016        23.8161932          .7948461        -3.1527643        25.6941245        23.7015331          .0672694          .0479854
  MQF2E26             MONI                      1690.5869788        15.5592217         6.6593999        -1.9371573         1.4349155        25.8068317        23.7582071          .1127072          .0566740
  MQD3E22             MONI                      1701.0368831         7.4403317        20.9498176         -.2028379        -1.7084092        25.9822600        23.9615917          .1754283          .2033846
  MQF4E22             MONI                      1705.8486643        29.1572012         9.9679438        -2.7076473          .7784462        26.0390456        24.0117161          .0567857          .0501243
  MQEAE27             MONI                      1710.4692283        48.5050151         7.6858431         5.6463304        -1.2526734        26.0568436        24.1097794          .0177980          .0980633
  MQD5E27             MONI                      1716.2206274         7.6607158        26.9249766          .5245025         2.0631561        26.1098664        24.1688355          .0530228          .0590561
  MQF6E14             MONI                      1723.5324278         8.8850272         7.1496356         -.6920158          .6371258        26.2830913        24.2571430          .1732249          .0883075
  MQD5E28             MONI                      1731.7442281         7.6607158        26.9249766         -.5245025        -2.0631561        26.4719560        24.3661836          .1888647          .1090406
  MQEAE28             MONI                      1737.4956272        48.5050151         7.6858431        -5.6463304         1.2526734        26.5249788        24.4252397          .0530228          .0590561
  MQF4E23             MONI                      1742.1161912        29.1572012         9.9679438         2.7076473         -.7784462        26.5427768        24.5233030          .0177980          .0980633
  MQD3E23             MONI                      1746.9279724         7.4403317        20.9498176          .2028379         1.7084092        26.5995625        24.5734273          .0567857          .0501243
  MQF2E27             MONI                      1757.3778768        15.5592217         6.6593999         1.9371573        -1.4349155        26.7749908        24.7768120          .1754283          .2033846
  MQD1E14             MONI                      1761.1176307         5.3422016        23.8161932          .7948461        -3.1527643        26.8422603        24.8247974          .0672694          .0479854
  MQF2E28             MONI                      1766.2573846        15.5592217         6.6593999        -1.9371573         1.4349155        26.9549675        24.8814714          .1127072          .0566740
  MQD3E24             MONI                      1776.7072889         7.4403317        20.9498176         -.2028379        -1.7084092        27.1303958        25.0848560          .1754283          .2033846
  MQF4E24             MONI                      1781.5190701        29.1572012         9.9679438        -2.7076473          .7784462        27.1871814        25.1349803          .0567857          .0501243
  MQEAE29             MONI                      1786.1396341        48.5050151         7.6858431         5.6463304        -1.2526734        27.2049794        25.2330437          .0177980          .0980633
  MQD5E29             MONI                      1791.8910332         7.6607158        26.9249766          .5245025         2.0631561        27.2580022        25.2920997          .0530228          .0590561
  MQF6E15             MONI                      1799.2028336         8.8850272         7.1496356         -.6920158          .6371258        27.4312271        25.3804073          .1732249          .0883075
  MQD5E30             MONI                      1807.4146339         7.6607158        26.9249766         -.5245025        -2.0631561        27.6200918        25.4894479          .1888647          .1090406
  MQEAE30             MONI                      1813.1660330        48.5050151         7.6858431        -5.6463304         1.2526734        27.6731146        25.5485039          .0530228          .0590561
  MQF4E25             MONI                      1817.7865970        29.1572012         9.9679438         2.7076473         -.7784462        27.6909126        25.6465672          .0177980          .0980633
  MQD3E25             MONI                      1822.5983782         7.4403317        20.9498176          .2028379         1.7084092        27.7476983        25.6966916          .0567857          .0501243
  MQF2E29             MONI                      1833.0482825        15.5592217         6.6593999         1.9371573        -1.4349155        27.9231266        25.9000762          .1754283          .2033846
  MQD1E15             MONI                      1836.7880365         5.3422016        23.8161932          .7948461        -3.1527643        27.9903960        25.9480616          .0672694          .0479854
  MQF2E30             MONI                      1841.9277904        15.5592217         6.6593999        -1.9371573         1.4349155        28.1031033        26.0047356          .1127072          .0566740
  MQT1FOE1            MONI                      1852.3776947         7.4403317        20.9498176         -.2028379        -1.7084092        28.2785316        26.2081202          .1754283          .2033846
  MQT2FOE1            MONI                      1857.6104011        24.1438560        20.5819766        -4.0725482         1.7616865        28.3490082        26.2448772          .0704767          .0367570
  MQTAFOE1            MONI                      1861.1278611        48.1181067        13.8843623         4.8487187        -1.6545976        28.3637785        26.2818318          .0147703          .0369546
  MQT3FOE1            MONI                      1866.0435444        15.1239205        31.5332925          .5202825         1.3541151        28.3949358        26.3170418          .0311573          .0352101
  MQT4FOE1            MONI                      1874.2840316        12.2534576        15.2462870         -.1718167          .6205336        28.4983701        26.3783294          .1034343          .0612876
  MQTBFOE1            MONI                      1878.4725386        17.9477963         9.3017031         -.9510439          .4896003        28.5445944        26.4347033          .0462243          .0563739
  MQT5FOE             MONI                      1882.6610456        10.1156939        17.1677297          .9256287        -1.5165100        28.5913502        26.4924123          .0467558          .0577090
  MQTBFOE2            MONI                      1888.0495526        17.9477963         9.3017031          .9510439         -.4896003        28.6578782        26.5607697          .0665280          .0683574
  MQT4FOE2            MONI                      1892.2380596        12.2534576        15.2462870          .1718167         -.6205336        28.7041025        26.6171436          .0462243          .0563739
  MQT3FOE2            MONI                      1900.4785468        15.1239205        31.5332925         -.5202825        -1.3541151        28.8075368        26.6784312          .1034343          .0612876
  MQTAFOE2            MONI                      1905.3942301        48.1181067        13.8843623        -4.8487187         1.6545976        28.8386941        26.7136413          .0311573          .0352101
  MQT2FOE2            MONI                      1908.9116901        24.1438560        20.5819766         4.0725482        -1.7616865        28.8534644        26.7505958          .0147703          .0369546
  MQT1FOE2            MONI                      1914.1443965         7.4403317        20.9498176          .2028379         1.7084092        28.9239411        26.7873528          .0704767          .0367570
  MQF2E31             MONI                      1924.5943008        15.5592217         6.6593999         1.9371573        -1.4349155        29.0993694        26.9907374          .1754283          .2033846
  MQD1E16             MONI                      1928.3340547         5.3422016        23.8161932          .7948461        -3.1527643        29.1666388        27.0387228          .0672694          .0479854
  MQF2E32             MONI                      1933.4738086        15.5592217         6.6593999        -1.9371573         1.4349155        29.2793460        27.0953968          .1127072          .0566740
  MQD3E26             MONI                      1943.9237130         7.4403317        20.9498176         -.2028379        -1.7084092        29.4547743        27.2987814          .1754283          .2033846
  MQF4E26             MONI                      1948.7354942        29.1572012         9.9679438        -2.7076473          .7784462        29.5115600        27.3489058          .0567857          .0501243
  MQEAE31             MONI                      1953.3560582        48.5050151         7.6858431         5.6463304        -1.2526734        29.5293580        27.4469691          .0177980          .0980633
  MQD5E31             MONI                      1959.1074573         7.6607158        26.9249766          .5245025         2.0631561        29.5823808        27.5060252          .0530228          .0590561
  MQF6E16             MONI                      1966.4192576         8.8850272         7.1496356         -.6920158          .6371258        29.7556057        27.5943327          .1732249          .0883075
  MQD5E32             MONI                      1974.6310580         7.6607158        26.9249766         -.5245025        -2.0631561        29.9444704        27.7033733          .1888647          .1090406
  MQEAE32             MONI                      1980.3824571        48.5050151         7.6858431        -5.6463304         1.2526734        29.9974932        27.7624294          .0530228          .0590561
  MQF4E27             MONI                      1985.0030211        29.1572012         9.9679438         2.7076473         -.7784462        30.0152912        27.8604927          .0177980          .0980633
  MQD3E27             MONI                      1989.8148023         7.4403317        20.9498176          .2028379         1.7084092        30.0720769        27.9106170          .0567857          .0501243
  MQF2E33             MONI                      2000.2647066        15.5592217         6.6593999         1.9371573        -1.4349155        30.2475052        28.1140016          .1754283          .2033846
  MQD1E17             MONI                      2004.0044605         5.3422016        23.8161932          .7948461        -3.1527643        30.3147746        28.1619871          .0672694          .0479854
  MQF2E34             MONI                      2009.1442144        15.5592217         6.6593999        -1.9371573         1.4349155        30.4274818        28.2186611          .1127072          .0566740
  MQD3E28             MONI                      2019.5941188         7.4403317        20.9498176         -.2028379        -1.7084092        30.6029101        28.4220457          .1754283          .2033846
  MQF4E28             MONI                      2024.4059000        29.1572012         9.9679438        -2.7076473          .7784462        30.6596958        28.4721700          .0567857          .0501243
  MQEAE33             MONI                      2029.0264640        48.5050151         7.6858431         5.6463304        -1.2526734        30.6774938        28.5702334          .0177980          .0980633
  MQD5E33             MONI                      2034.7778631         7.6607158        26.9249766          .5245025         2.0631561        30.7305166        28.6292894          .0530228          .0590561
  MQF6E17             MONI                      2042.0896634         8.8850272         7.1496356         -.6920158          .6371258        30.9037415        28.7175970          .1732249          .0883075
  MQD5E34             MONI                      2050.3014638         7.6607158        26.9249766         -.5245025        -2.0631561        31.0926062        28.8266375          .1888647          .1090406
  MQEAE34             MONI                      2056.0528629        48.5050151         7.6858431        -5.6463304         1.2526734        31.1456290        28.8856936          .0530228          .0590561
  MQF4E29             MONI                      2060.6734269        29.1572012         9.9679438         2.7076473         -.7784462        31.1634270        28.9837569          .0177980          .0980633
  MQD3E29             MONI                      2065.4852081         7.4403317        20.9498176          .2028379         1.7084092        31.2202127        29.0338813          .0567857          .0501243
  MQF2E35             MONI                      2075.9351124        15.5592217         6.6593999         1.9371573        -1.4349155        31.3956410        29.2372659          .1754283          .2033846
  MQD1E18             MONI                      2079.6748663         5.3422016        23.8161932          .7948461        -3.1527643        31.4629104        29.2852513          .0672694          .0479854
  MQF2E36             MONI                      2084.8146202        15.5592217         6.6593999        -1.9371573         1.4349155        31.5756176        29.3419253          .1127072          .0566740
  MQD3E30             MONI                      2095.2645246         7.4403317        20.9498176         -.2028379        -1.7084092        31.7510459        29.5453099          .1754283          .2033846
  MQF4E30             MONI                      2100.0763058        29.1572012         9.9679438        -2.7076473          .7784462        31.8078316        29.5954343          .0567857          .0501243
  MQEAE35             MONI                      2104.6968698        48.5050151         7.6858431         5.6463304        -1.2526734        31.8256296        29.6934976          .0177980          .0980633
  MQD5E35             MONI                      2110.4482689         7.6607158        26.9249766          .5245025         2.0631561        31.8786524        29.7525537          .0530228          .0590561
  MQF6E18             MONI                      2117.7600692         8.8850272         7.1496356         -.6920158          .6371258        32.0518773        29.8408612          .1732249          .0883075
  MQD5E36             MONI                      2125.9718696         7.6607158        26.9249766         -.5245025        -2.0631561        32.2407420        29.9499018          .1888647          .1090406
  MQEAE36             MONI                      2131.7232687        48.5050151         7.6858431        -5.6463304         1.2526734        32.2937648        30.0089579          .0530228          .0590561
  MQS4OE1             MONI                      2136.3498327        29.1247197         9.9772910         2.7059328         -.7794129        32.3115956        30.1071169          .0178308          .0981591
  MQSBOE1             MONI                      2140.3832703        23.3106086        12.3125821         3.8546116        -1.9923876        32.3354929        30.1681703          .0238973          .0610534
  MQS3ORE             MONI                      2142.9329276         8.0771440        25.0962292         2.1200990        -3.0214811        32.3652388        30.1913367          .0297459          .0231664
  MQS2ORE             MONI                      2152.2034392        13.2848919        30.4043538         -.7192456        -2.8290778        32.6799068        30.2440510          .3146680          .0527143
  MQR7ORE             MONI                      2156.6123470        21.8471728        61.1051859        -1.2228010        -4.1341947        32.7215692        30.2603591          .0416624          .0163081
  MQR6ORE             MONI                      2163.5544764        91.7603481        33.2348271         4.0237664        -1.9032723        32.7458306        30.2853063          .0242613          .0249473
  MQR5ORE             MONI                      2175.5325939        22.2452057        98.7852407         1.7797451        -3.5692415        32.7885364        30.3188245          .0427058          .0335182
  MQR4ORE             MONI                      2184.9583939        45.9630652         4.1630204        -1.8112917         1.5971421        32.8385579        30.3915091          .0500215          .0726845
  MQR3ORE             MONI                      2194.3841939         3.3143289        34.0843629          .5967405        -4.2817592        32.9678522        30.7361871          .1292944          .3446780
  MQR2ORE             MONI                      2203.8099939        34.8057218         4.7479218        -3.3658129          .5746181        33.1656568        30.8555494          .1978046          .1193623
  MQDWOE1             MONI                      2213.2357939         4.3532490        30.8260256          .5210970        -2.5920978        33.2921630        31.0114680          .1265062          .1559186
  MQFWOE              MONI                      2222.6615939        29.5362231         6.2589859        -2.6058185          .5537409        33.4637835        31.1212572          .1716205          .1097892
  MQDWOE2             MONI                      2232.0873939         6.5021517        31.1697887          .5154172        -2.3172962        33.5741579        31.2477670          .1103744          .1265098
  MQFROE2             MONI                      2241.2131939        31.3140040         5.0351872        -2.3568988          .5119838        33.6927066        31.3679866          .1185486          .1202197
  MQDROE3             MONI                      2250.6389939         6.9657018        29.3993215          .6768551        -2.5237427        33.7909702        31.5293994          .0982636          .1614127
  MQFROE3             MONI                      2260.0647939        31.3140040         5.0351872        -2.3568988          .5119838        33.9161629        31.6512779          .1251927          .1218785
  MQDROE4             MONI                      2269.4905939         6.9657018        29.3993215          .6768551        -2.5237427        34.0144265        31.8126906          .0982636          .1614127
  MQFROE4             MONI                      2278.9163939        31.3140040         5.0351872        -2.3568988          .5119838        34.1396193        31.9345691          .1251927          .1218785
  MQDROE5             MONI                      2288.3421939         6.9657018        29.3993215          .6768551        -2.5237427        34.2378829        32.0959819          .0982636          .1614127
  MQFROE5             MONI                      2297.7679939        31.3140040         5.0351872        -2.3568988          .5119838        34.3630757        32.2178604          .1251927          .1218785
  MQDROE6             MONI                      2307.1937939         6.9657018        29.3993215          .6768551        -2.5237427        34.4613393        32.3792732          .0982636          .1614127
  MQR2OLE             MONI                      2316.6195939        31.3140040         5.0351872        -2.3568988          .5119838        34.5865320        32.5011517          .1251927          .1218785
  MQR3OLE             MONI                      2326.0453939         2.6426343        34.0280122          .1491080        -2.9078867        34.7724371        32.6498163          .1859050          .1486646
  MQR4OLE             MONI                      2335.4711939        56.3358053         1.9929596        -5.4921852         -.2385753        34.9419582        32.9046119          .1695211          .2547956
  MQR5OLE             MONI                      2344.8969939         1.7307293        90.8137570          .4807170        -8.9779317        35.0989194        33.0504014          .1569612          .1457895
  MQR6OLE             MONI                      2356.6188487        95.6058897        40.1727170        -8.3508633         2.1309597        35.3717297        33.0788543          .2728103          .0284529
  MQR7OLE             MONI                      2361.7172487        30.9236536        90.7041398         1.5954831         5.0848831        35.3859893        33.0927710          .0142596          .0139167
  MQS2OLE             MONI                      2370.2261487        11.0689797        27.9121083         1.6768656          .0694727        35.4588567        33.1208911          .0728674          .0281201
  MQS3OLE             MONI                      2378.5968490         8.0771440        25.0962292        -2.1200990         3.0214811        35.7619300        33.1685746          .3030733          .0476835
  MQSBOE2             MONI                      2381.1465063        23.3106086        12.3125821        -3.8546116         1.9923876        35.7916759        33.1917410          .0297459          .0231664
  MQS4OE2             MONI                      2385.1799439        29.1247197         9.9772910        -2.7059328          .7794129        35.8155733        33.2527943          .0238973          .0610534
  MQEAE37             MONI                      2389.8065079        48.5050151         7.6858431         5.6463304        -1.2526734        35.8334041        33.3509534          .0178308          .0981591
  MQD5E37             MONI                      2395.5579070         7.6607158        26.9249766          .5245025         2.0631561        35.8864268        33.4100095          .0530228          .0590561
  MQF6E19             MONI                      2402.8697074         8.8850272         7.1496356         -.6920158          .6371258        36.0596517        33.4983170          .1732249          .0883075
  MQD5E38             MONI                      2411.0815077         7.6607158        26.9249766         -.5245025        -2.0631561        36.2485165        33.6073576          .1888647          .1090406
  MQEAE38             MONI                      2416.8329068        48.5050151         7.6858431        -5.6463304         1.2526734        36.3015392        33.6664137          .0530228          .0590561
  MQF4E31             MONI                      2421.4534708        29.1572012         9.9679438         2.7076473         -.7784462        36.3193372        33.7644770          .0177980          .0980633
  MQD3E31             MONI                      2426.2652520         7.4403317        20.9498176          .2028379         1.7084092        36.3761229        33.8146013          .0567857          .0501243
  MQF2E37             MONI                      2436.7151564        15.5592217         6.6593999         1.9371573        -1.4349155        36.5515512        34.0179860          .1754283          .2033846
  MQD1E19             MONI                      2440.4549103         5.3422016        23.8161932          .7948461        -3.1527643        36.6188207        34.0659714          .0672694          .0479854
  MQF2E38             MONI                      2445.5946642        15.5592217         6.6593999        -1.9371573         1.4349155        36.7315279        34.1226454          .1127072          .0566740
  MQD3E32             MONI                      2456.0445685         7.4403317        20.9498176         -.2028379        -1.7084092        36.9069562        34.3260300          .1754283          .2033846
  MQF4E32             MONI                      2460.8563497        29.1572012         9.9679438        -2.7076473          .7784462        36.9637418        34.3761543          .0567857          .0501243
  MQEAE39             MONI                      2465.4769137        48.5050151         7.6858431         5.6463304        -1.2526734        36.9815398        34.4742177          .0177980          .0980633
  MQD5E39             MONI                      2471.2283128         7.6607158        26.9249766          .5245025         2.0631561        37.0345626        34.5332737          .0530228          .0590561
  MQF6E20             MONI                      2478.5401132         8.8850272         7.1496356         -.6920158          .6371258        37.2077875        34.6215813          .1732249          .0883075
  MQD5E40             MONI                      2486.7519135         7.6607158        26.9249766         -.5245025        -2.0631561        37.3966522        34.7306219          .1888647          .1090406
  MQEAE40             MONI                      2492.5033126        48.5050151         7.6858431        -5.6463304         1.2526734        37.4496750        34.7896779          .0530228          .0590561
  MQF4E33             MONI                      2497.1238766        29.1572012         9.9679438         2.7076473         -.7784462        37.4674730        34.8877412          .0177980          .0980633
  MQD3E33             MONI                      2501.9356578         7.4403317        20.9498176          .2028379         1.7084092        37.5242587        34.9378656          .0567857          .0501243
  MQF2E39             MONI                      2512.3855622        15.5592217         6.6593999         1.9371573        -1.4349155        37.6996870        35.1412502          .1754283          .2033846
  MQD1E20             MONI                      2516.1253161         5.3422016        23.8161932          .7948461        -3.1527643        37.7669565        35.1892356          .0672694          .0479854
  MQF2E40             MONI                      2521.2650700        15.5592217         6.6593999        -1.9371573         1.4349155        37.8796637        35.2459096          .1127072          .0566740
  MQD3E34             MONI                      2531.7149743         7.4403317        20.9498176         -.2028379        -1.7084092        38.0550920        35.4492942          .1754283          .2033846
  MQF4E34             MONI                      2536.5267555        29.1572012         9.9679438        -2.7076473          .7784462        38.1118776        35.4994186          .0567857          .0501243
  MQEAE41             MONI                      2541.1473195        48.5050151         7.6858431         5.6463304        -1.2526734        38.1296756        35.5974819          .0177980          .0980633
  MQD5E41             MONI                      2546.8987186         7.6607158        26.9249766          .5245025         2.0631561        38.1826984        35.6565380          .0530228          .0590561
  MQF6E21             MONI                      2554.2105190         8.8850272         7.1496356         -.6920158          .6371258        38.3559233        35.7448455          .1732249          .0883075
  MQD5E42             MONI                      2562.4223193         7.6607158        26.9249766         -.5245025        -2.0631561        38.5447880        35.8538861          .1888647          .1090406
  MQEAE42             MONI                      2568.1737184        48.5050151         7.6858431        -5.6463304         1.2526734        38.5978108        35.9129422          .0530228          .0590561
  MQF4E35             MONI                      2572.7942824        29.1572012         9.9679438         2.7076473         -.7784462        38.6156088        36.0110055          .0177980          .0980633
  MQD3E35             MONI                      2577.6060636         7.4403317        20.9498176          .2028379         1.7084092        38.6723945        36.0611298          .0567857          .0501243
  MQF2E41             MONI                      2588.0559680        15.5592217         6.6593999         1.9371573        -1.4349155        38.8478228        36.2645144          .1754283          .2033846
  MQD1E21             MONI                      2591.7957219         5.3422016        23.8161932          .7948461        -3.1527643        38.9150923        36.3124999          .0672694          .0479854
  MQF2E42             MONI                      2596.9354758        15.5592217         6.6593999        -1.9371573         1.4349155        39.0277995        36.3691739          .1127072          .0566740
  MQT1OTE1            MONI                      2607.3853801         7.4403317        20.9498176         -.2028379        -1.7084092        39.2032278        36.5725585          .1754283          .2033846
  MQT2OTE1            MONI                      2612.6180865        24.1438560        20.5819766        -4.0725482         1.7616865        39.2737044        36.6093155          .0704767          .0367570
  MQTAOTE1            MONI                      2616.1355465        48.1181067        13.8843623         4.8487187        -1.6545976        39.2884747        36.6462700          .0147703          .0369546
  MQT3OTE1            MONI                      2621.0512298        15.1239205        31.5332925          .5202825         1.3541151        39.3196320        36.6814801          .0311573          .0352101
  MQT4OTE1            MONI                      2629.2917170        12.2534576        15.2462870         -.1718167          .6205336        39.4230663        36.7427677          .1034343          .0612876
  MQTBOTE1            MONI                      2633.4802240        17.9477963         9.3017031         -.9510439          .4896003        39.4692906        36.7991416          .0462243          .0563739
  MQT5OTE             MONI                      2637.6687310        10.1156939        17.1677297          .9256287        -1.5165100        39.5160464        36.8568506          .0467558          .0577090
  MQTBOTE2            MONI                      2643.0572380        17.9477963         9.3017031          .9510439         -.4896003        39.5825744        36.9252079          .0665280          .0683574
  MQT4OTE2            MONI                      2647.2457450        12.2534576        15.2462870          .1718167         -.6205336        39.6287987        36.9815818          .0462243          .0563739
  MQT3OTE2            MONI                      2655.4862322        15.1239205        31.5332925         -.5202825        -1.3541151        39.7322330        37.0428694          .1034343          .0612876
  MQTAOTE2            MONI                      2660.4019155        48.1181067        13.8843623        -4.8487187         1.6545976        39.7633903        37.0780795          .0311573          .0352101
  MQT2OTE2            MONI                      2663.9193755        24.1438560        20.5819766         4.0725482        -1.7616865        39.7781606        37.1150341          .0147703          .0369546
